,loan_amnt,int_rate,installment,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,next_pymnt_d,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag
0,10500.0,0.17190000000000003,375.35,RENT,66000.0,Source Verified,Mar-2019,low_risk,n,27.24,0.0,0.0,8.0,0.0,1609.0,14.0,w,10204.87,10204.87,355.29,355.29,295.13,60.16,0.0,0.0,0.0,375.35,May-2019,0.0,1.0,Individual,0.0,178.0,38199.0,3.0,4.0,2.0,4.0,3.0,36590.0,59.0,1.0,2.0,1553.0,58.0,3700.0,1.0,0.0,4.0,6.0,4775.0,447.0,77.7,0.0,0.0,93.0,96.0,3.0,3.0,0.0,20.0,1.0,0.0,1.0,2.0,1.0,1.0,10.0,3.0,3.0,2.0,8.0,0.0,0.0,0.0,3.0,85.7,100.0,0.0,0.0,65687.0,38199.0,2000.0,61987.0,N,N
1,25000.0,0.2,929.09,MORTGAGE,105000.0,Verified,Mar-2019,low_risk,n,20.23,0.0,0.0,17.0,1.0,18368.0,34.0,w,24293.13,24293.13,873.53,873.53,706.87,166.66,0.0,0.0,0.0,929.09,May-2019,0.0,1.0,Individual,0.0,165.0,228119.0,3.0,3.0,2.0,3.0,4.0,42273.0,86.0,4.0,8.0,5197.0,61.0,50400.0,4.0,9.0,3.0,13.0,13419.0,29502.0,28.4,0.0,0.0,87.0,286.0,1.0,1.0,2.0,1.0,11.0,3.0,7.0,11.0,8.0,13.0,14.0,13.0,18.0,11.0,17.0,0.0,0.0,0.0,6.0,91.2,50.0,1.0,0.0,271427.0,60641.0,41200.0,49197.0,N,N
2,20000.0,0.2,529.88,MORTGAGE,56000.0,Verified,Mar-2019,low_risk,n,24.26,0.0,0.0,8.0,0.0,13247.0,21.0,w,19636.79,19636.79,485.44,485.44,363.21,122.23,0.0,0.0,0.0,529.88,May-2019,0.0,1.0,Individual,0.0,0.0,45684.0,2.0,3.0,2.0,3.0,4.0,32437.0,75.0,2.0,3.0,2810.0,75.0,17500.0,0.0,4.0,1.0,6.0,5711.0,2839.0,62.1,0.0,0.0,159.0,156.0,7.0,4.0,0.0,7.0,7.0,6.0,2.0,5.0,2.0,7.0,8.0,5.0,13.0,5.0,8.0,0.0,0.0,0.0,4.0,66.7,50.0,0.0,0.0,60644.0,45684.0,7500.0,43144.0,N,N
3,10000.0,0.16399999999999998,353.55,RENT,92000.0,Verified,Mar-2019,low_risk,n,31.44,0.0,1.0,10.0,1.0,17996.0,23.0,w,9719.34,9719.34,335.33,335.33,280.66,54.67,0.0,0.0,0.0,353.55,May-2019,0.0,1.0,Individual,0.0,0.0,68784.0,0.0,4.0,1.0,3.0,9.0,50788.0,66.0,0.0,1.0,6360.0,69.0,23000.0,3.0,5.0,4.0,4.0,6878.0,4899.0,75.1,0.0,0.0,100.0,89.0,24.0,9.0,0.0,34.0,0.0,0.0,4.0,6.0,4.0,4.0,17.0,6.0,6.0,6.0,10.0,0.0,0.0,0.0,1.0,100.0,50.0,1.0,0.0,99506.0,68784.0,19700.0,76506.0,N,N
4,22000.0,0.1474,520.39,MORTGAGE,52000.0,Not Verified,Mar-2019,low_risk,n,18.76,0.0,1.0,14.0,0.0,9091.0,28.0,w,21614.73,21614.73,484.36,484.36,385.27,99.09,0.0,0.0,0.0,520.39,May-2019,0.0,1.0,Individual,0.0,0.0,177745.0,0.0,1.0,0.0,2.0,14.0,16828.0,84.0,1.0,1.0,3600.0,41.0,43100.0,2.0,0.0,2.0,4.0,13673.0,19699.0,28.6,0.0,0.0,67.0,138.0,11.0,11.0,4.0,11.0,0.0,0.0,4.0,6.0,7.0,11.0,6.0,12.0,18.0,6.0,14.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,219750.0,25919.0,27600.0,20000.0,N,N
5,25000.0,0.1797,634.43,MORTGAGE,90000.0,Source Verified,Mar-2019,low_risk,n,18.49,1.0,1.0,14.0,0.0,23889.0,58.0,w,24577.72,24577.72,584.51,584.51,422.28,162.23,0.0,0.0,0.0,634.43,May-2019,0.0,1.0,Individual,0.0,0.0,568489.0,1.0,4.0,0.0,3.0,24.0,395045.0,66.0,1.0,4.0,10405.0,73.0,29100.0,1.0,2.0,4.0,8.0,40606.0,813.0,95.7,0.0,0.0,198.0,214.0,6.0,6.0,1.0,13.0,0.0,3.0,3.0,5.0,3.0,7.0,36.0,9.0,21.0,5.0,14.0,0.0,0.0,0.0,1.0,93.1,66.7,0.0,0.0,550717.0,418934.0,18800.0,369051.0,N,N
6,20400.0,0.2,540.48,RENT,51315.0,Source Verified,Mar-2019,low_risk,n,25.63,0.0,2.0,8.0,1.0,2569.0,35.0,w,20040.85,20040.85,495.15,495.15,359.15,136.0,0.0,0.0,0.0,540.48,May-2019,0.0,1.0,Individual,0.0,0.0,23469.0,2.0,3.0,3.0,6.0,5.0,20900.0,76.0,1.0,2.0,2131.0,59.0,12500.0,6.0,10.0,6.0,8.0,2934.0,1369.0,60.9,0.0,0.0,132.0,158.0,3.0,3.0,0.0,35.0,0.0,0.0,1.0,3.0,1.0,10.0,20.0,5.0,15.0,3.0,8.0,0.0,0.0,0.0,4.0,100.0,0.0,1.0,0.0,40023.0,23469.0,3500.0,27523.0,N,N
7,10000.0,0.1557,349.46,OWN,66000.0,Source Verified,Mar-2019,low_risk,n,9.0,0.0,0.0,11.0,0.0,9407.0,12.0,w,9724.07,9724.07,332.16,332.16,275.94,56.23,0.0,0.0,0.0,349.46,May-2019,0.0,1.0,Individual,0.0,0.0,22377.0,3.0,2.0,0.0,0.0,42.0,12970.0,104.0,3.0,6.0,1660.0,76.0,16800.0,3.0,0.0,6.0,6.0,2034.0,3478.0,58.6,0.0,0.0,42.0,59.0,4.0,4.0,0.0,4.0,1.0,1.0,6.0,9.0,6.0,7.0,2.0,9.0,10.0,9.0,11.0,0.0,0.0,0.0,3.0,100.0,16.7,0.0,0.0,29300.0,22377.0,8400.0,12500.0,N,N
8,14000.0,0.08810000000000001,443.96,RENT,45000.0,Not Verified,Mar-2019,low_risk,n,10.24,0.0,1.0,9.0,0.0,7058.0,20.0,f,12606.7,12606.7,1430.26,1430.26,1393.3,36.96,0.0,0.0,0.0,443.96,May-2019,0.0,1.0,Individual,0.0,0.0,9724.0,2.0,1.0,1.0,1.0,3.0,2666.0,89.0,3.0,3.0,1990.0,39.0,22100.0,1.0,0.0,2.0,4.0,1080.0,8370.0,30.8,0.0,0.0,134.0,180.0,6.0,3.0,0.0,6.0,3.0,1.0,4.0,8.0,4.0,6.0,4.0,8.0,15.0,8.0,9.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,25100.0,9724.0,12100.0,3000.0,N,N
9,10000.0,0.1474,345.39,RENT,63295.0,Verified,Mar-2019,low_risk,n,39.34,0.0,0.0,27.0,0.0,25790.0,36.0,w,9724.22,9724.22,329.01,329.01,275.78,53.23,0.0,0.0,0.0,345.39,May-2019,0.0,1.0,Individual,0.0,0.0,102924.0,2.0,8.0,1.0,2.0,7.0,77134.0,65.0,2.0,4.0,3155.0,65.0,39100.0,0.0,4.0,1.0,6.0,3812.0,4382.0,71.4,0.0,0.0,193.0,268.0,3.0,3.0,0.0,3.0,3.0,1.0,7.0,14.0,7.0,8.0,12.0,19.0,24.0,14.0,27.0,0.0,0.0,0.0,3.0,97.2,71.4,0.0,0.0,119822.0,102924.0,15300.0,80722.0,N,N
